NAME,STATE,RANK,COST,ENROLL
Princeton University,NJ,1,45320,5402
Harvard University,MA,2,47074,6699
University of Chicago,IL,3,52491,5844
Yale University,CT,3,49480,5532
Columbia University,NY,5,55056,6102
Stanford University,CA,5,47940,6999
Massachusetts Institute of Technology,MA,7,48452,4527
Duke University,NC,8,51265,6639
University of Pennsylvania,PA,8,51464,9726
Johns Hopkins University,MD,10,50410,6524
Dartmouth College,NH,11,51438,4307
California Institute of Technology,CA,12,47577,1001
Northwestern University,IL,12,50855,8314
Brown University,RI,14,51367,6652
Cornell University,NY,15,50953,14315
Rice University,TX,15,43918,3910
University of Notre Dame,IN,15,49685,8462
Vanderbilt University,TN,15,45610,6883
Washington University in St. Louis,MO,19,49770,7504
Emory University,GA,20,47954,6867
Georgetown University,DC,20,50547,7562
University of California--Berkeley,CA,20,40191,27496
University of Southern California,CA,23,52217,18810
Carnegie Mellon University,PA,24,52040,6454
University of California--Los Angeles,CA,24,39518,29585
University of Virginia,VA,24,45066,16736
Tufts University,MA,27,52430,5290
University of Michigan--Ann Arbor,MI,27,43476,28312
Wake Forest University,NC,27,49308,4871
University of North Carolina--Chapel Hill,NC,30,33916,18415
Boston College,MA,31,51296,9192
College of William & Mary,VA,32,41718,6301
University of Rochester,NY,32,50142,6304
Brandeis University,MA,34,51570,3621
Georgia Institute of Technology,GA,34,32404,15142
New York University,NY,36,49062,25722
Case Western Reserve University,OH,37,46006,5121
University of California--Santa Barbara,CA,37,40704,20607
Boston University,MA,39,50240,17932
Northeastern University,MA,39,47655,13697
Rensselaer Polytechnic Institute,NY,39,50797,5864
Tulane University,LA,39,51010,6662
University of California--Irvine,CA,39,39458,25256
Lehigh University,PA,44,48320,5075
University of California--Davis,CA,44,40728,28384
University of California--San Diego,CA,44,41387,26590
University of Illinois--Urbana-Champaign,IL,44,31320,33368
University of Miami,FL,44,47004,11122
University of Wisconsin--Madison,WI,44,32738,31662
Pepperdine University,CA,50,50022,3533
University of Florida,FL,50,28666,35043
Villanova University,PA,50,49280,6994
Pennsylvania State University--University Park,PA,50,32382,40742
Ohio State University--Columbus,OH,54,29229,45289
University of Washington,WA,54,34791,31063
George Washington University,DC,56,51950,11157
Southern Methodist University,TX,56,50358,6411
University of Georgia,GA,56,29844,27547
University of Texas--Austin,TX,56,34676,39619
Fordham University,NY,60,47317,8855
Purdue University--West Lafayette,IN,60,28804,29497
Syracuse University,NY,60,45022,15196
University of Connecticut,CT,60,35858,18826
University of Maryland--College Park,MD,60,32045,27443
Worcester Polytechnic Institute,MA,60,46994,4299
Clemson University,SC,66,32796,18016
Yeshiva University,NY,66,40670,2744
Brigham Young University--Provo,UT,68,5300,30221
University of Pittsburgh,PA,68,29758,18908
Rutgers University--New Brunswick,NJ,70,30023,35484
Baylor University,TX,71,42006,14189
Stevens Institute of Technology,NJ,71,48838,2873
University of Minnesota--Twin Cities,MN,71,22210,34071
American University,DC,74,44853,7909
Clark University,MA,74,43150,2397
Texas A&M University--College Station,TX,74,28768,48960
University of Massachusetts--Amherst,MA,74,30123,22748
Virginia Tech,VA,74,29371,25384
Miami University--Oxford,OH,79,31592,16387
University of California--Santa Cruz,CA,79,40241,16231
University of Delaware,DE,79,31420,18322
Colorado School of Mines,CO,82,34828,4608
Michigan State University,MI,82,39090,39143
Texas Christian University,TX,82,42670,8894
University of Iowa,IA,82,28413,23357
Binghamton University--SUNY,NY,86,22164,13491
Indiana University--Bloomington,IN,86,34246,38364
Marquette University,WI,86,38470,8334
University of Denver,CO,86,46362,5758
University of San Diego,CA,86,46140,5647
University of Tulsa,OK,86,38796,3478
Florida State University,FL,92,24673,32706
North Carolina State University--Raleigh,NC,92,26399,24111
University of Colorado--Boulder,CO,92,35079,27010
University of Vermont,VT,92,40364,10973
Drexel University,PA,96,51030,14138
Saint Louis University,MO,96,40726,8248
Stony Brook University--SUNY,NY,96,26266,16831
Auburn University,AL,99,28840,21786
Loyola University Chicago,IL,99,41384,11079
SUNY College of Environmental Science and Forestry,NY,99,17620,1839
University at Buffalo--SUNY,NY,99,26270,19951
Illinois Institute of Technology,IL,103,45214,2991
University of Alabama,AL,103,26950,31958
University of Oregon,OR,103,33442,20538
University of Tennessee,TN,103,30858,21863
Rochester Institute of Technology,NY,107,38568,12607
University of New Hampshire,NH,107,31424,13034
University of San Francisco,CA,107,44494,6782
University of South Carolina,SC,107,31282,25237
Iowa State University,IA,111,21483,30034
University of Dayton,OH,111,40940,8665
University of Missouri,MO,111,25892,27812
